$METADATA
$Version 2.3
$Project; FerryBox
$Device; 741601
$DateTime; 2025.05.08 07:25:01
$Filename; C:\Working\2025-05-08_07.24.29_Skagen_to__741601.txt
$Watertimedelay; 00:00:00
$TrackStart: Unknown
$TrackEnd: Unknown
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units		°	°	°	Nm	°C	S/m	psu	m/s	°C	mg/l	%	°C	pH	µg/l	NTU	mbar	l/min	l/min	ppb	ppb
Date	Time	Latitude	Longitude	Course	Speed	Temp_SBE45	Cond_SBE45	Salinity_SBE45	SoundVel_SBE45	Temp_in_SBE38	Oxygen	Saturation	Temperature_Optode	pH	Chlorophyll	Turbidity	pressure	flow_main	flow_SBE45	Phycocyanin	CDOM
2025.05.08	07:25:00	57.713260	10.611424	79.933661	10.250000	19.064853	1.272401	9.314262	1490.002845	10.806521	9.289984	105.411000	21.539600	4.930114	0.065450	3.823779	154.225955	2.891215	1.019844	1.572083	-0.013333
2025.05.08	07:26:00	57.713796	10.617191	79.563275	11.000000	12.327105	3.535214	30.238640	1492.243621	11.125649	9.226715	95.147667	16.874333	8.838098	0.290905	3.578834	199.767172	8.581661	3.023265	0.633500	-0.012292
2025.05.08	07:27:00	57.714330	10.623201	80.924812	11.000000	11.435147	3.435988	30.008845	1488.896190	11.145380	10.272869	98.610500	13.495000	8.948782	0.276958	3.614914	199.492347	8.600821	3.078278	0.548333	-0.012500
2025.05.08	07:28:00	57.714776	10.629281	81.852500	11.000000	11.406810	3.400082	29.684083	1488.407483	10.989209	10.545325	99.326200	12.640800	8.976655	0.212193	3.528770	200.522942	8.617876	3.094214	0.539000	-0.015625
2025.05.08	07:29:00	57.715236	10.635360	81.195489	11.000000	11.322159	3.366126	29.422907	1487.795931	10.650379	10.692837	99.836000	12.252000	8.991906	0.208322	3.508276	200.292443	8.639583	3.098994	0.539000	-0.014792
2025.05.08	07:30:00	57.715683	10.641510	82.517588	11.000000	11.087910	3.325862	29.218812	1486.721655	10.799074	10.756795	99.827333	11.985333	9.002357	0.206975	3.561975	199.807066	8.649662	3.106166	0.551250	-0.017708
2025.05.08	07:31:00	57.716038	10.647664	83.452261	11.511335	10.905447	3.314551	29.253482	1486.113877	10.984848	10.848154	99.882600	11.639600	9.012281	0.195848	3.523207	199.753874	8.631720	3.109054	0.570500	-0.014583
2025.05.08	07:32:00	57.716383	10.653872	83.638889	12.000000	11.105307	3.258365	28.549300	1485.979724	10.800372	10.858693	99.812000	11.566167	9.017264	0.206692	3.494861	199.485698	8.607687	3.109220	0.566417	-0.013958
2025.05.08	07:33:00	57.716734	10.660112	83.259446	12.000000	11.070402	3.252740	28.521707	1485.822310	10.804472	10.883635	100.124000	11.602200	9.028126	0.213340	3.444159	200.190492	8.615218	3.107228	0.589167	-0.017500
2025.05.08	07:34:00	57.717163	10.666357	81.803526	12.000000	10.983829	3.260441	28.663805	1485.684448	10.827642	10.983349	100.784833	11.491500	9.038003	0.235025	3.428614	198.512728	8.614775	3.108025	0.617750	-0.015000
2025.05.08	07:35:00	57.717625	10.672602	81.646465	12.000000	11.011698	3.249127	28.532153	1485.625690	10.773620	11.031365	101.070000	11.424833	9.042833	0.240294	3.363940	198.355368	8.605694	3.108423	0.588000	-0.018333
2025.05.08	07:36:00	57.718087	10.678856	81.792929	12.000000	10.978295	3.232129	28.392803	1485.338966	10.750810	11.051104	101.165200	11.388000	9.045562	0.229642	3.310875	198.519377	8.598606	3.100090	0.598500	-0.015833
2025.05.08	07:37:00	57.718560	10.685105	81.143577	12.000000	10.939777	3.246205	28.559572	1485.401912	10.616684	11.083355	101.284500	11.312500	9.050234	0.238717	3.260592	198.346503	8.618873	3.093018	0.600833	-0.013750
2025.05.08	07:38:00	57.719028	10.691353	81.645729	12.000000	10.865809	3.235873	28.516359	1485.085293	10.742959	11.087643	101.226000	11.270667	9.052163	0.241542	3.198343	197.805717	8.584984	3.096637	0.589750	-0.014375
2025.05.08	07:39:00	57.719497	10.697592	81.572152	12.000000	10.841257	3.228917	28.467743	1484.938914	10.835724	11.125683	101.351400	11.176000	9.053946	0.236996	3.131187	198.271147	8.577563	3.103642	0.592667	-0.019583
2025.05.08	07:40:00	57.719964	10.703828	81.368687	12.000000	10.948281	3.215262	28.251955	1485.062483	10.893287	11.134208	101.509833	11.210500	9.053489	0.240692	3.084654	198.672304	8.598163	3.102912	0.594417	-0.015417
2025.05.08	07:41:00	57.720435	10.710057	81.583333	12.000000	11.013098	3.227966	28.325534	1485.382448	10.934075	11.158805	101.853833	11.261000	9.053495	0.247433	3.038685	199.434722	8.623303	3.101352	0.601417	-0.021458
2025.05.08	07:42:00	57.720909	10.716277	81.123737	12.000000	11.064378	3.195785	27.974328	1485.143534	10.977010	11.129638	101.687200	11.304000	9.051482	0.253198	3.014957	198.344286	8.585205	3.092222	0.587417	-0.015833
2025.05.08	07:43:00	57.721380	10.722484	81.547980	12.000000	11.101037	3.202780	28.014144	1485.322105	11.015368	11.130320	101.749500	11.327667	9.051500	0.257125	2.969229	198.541540	8.591518	3.090960	0.593833	-0.015833
2025.05.08	07:44:00	57.722012	10.728613	74.007576	12.000000	11.135614	3.177761	27.746259	1485.123914	11.042719	11.094733	101.490600	11.356200	9.049204	0.248180	2.861545	203.251248	8.592515	3.099692	0.573417	-0.017083
2025.05.08	07:45:00	57.723565	10.734028	48.722922	12.000000	11.179336	3.181474	27.749112	1485.283034	11.113930	11.031872	101.007167	11.395500	9.048885	0.240125	2.789004	205.188324	8.595616	3.091890	0.597917	-0.017083
2025.05.08	07:46:00	57.726081	10.738269	39.850633	12.000000	11.224478	3.192426	27.820736	1485.529500	10.996084	11.063845	101.369500	11.425667	9.048866	0.249040	2.826998	197.267148	8.591961	3.104306	0.603167	-0.016042
2025.05.08	07:47:00	57.728668	10.742479	41.979849	12.000000	11.208860	3.196496	27.871698	1485.535103	11.091267	11.063565	101.427200	11.451200	9.049611	0.247775	2.790161	196.207741	8.570475	3.096040	0.581000	-0.015417
2025.05.08	07:48:00	57.731154	10.746915	43.368687	12.000000	11.183031	3.144704	27.392329	1484.868397	11.180090	11.032677	101.061667	11.415833	9.047852	0.247319	2.732140	197.453320	8.586756	3.095807	0.624750	-0.017708
