$METADATA
$Version 2.3
$Project; FerryBox
$Device; 741601
$DateTime; 2025.05.06 07:36:01
$Filename; C:\Working\224_2025-05-06_07.35.09__to_Skagen_741601.txt
$Watertimedelay; 00:00:00
$TrackStart: Skagen
$TrackEnd: Skagen
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units		°	°	°	Nm	°C	S/m	psu	m/s	°C	mg/l	%	°C	pH	µg/l	NTU	mbar	l/min	l/min	ppb	ppb
Date	Time	Latitude	Longitude	Course	Speed	Temp_SBE45	Cond_SBE45	Salinity_SBE45	SoundVel_SBE45	Temp_in_SBE38	Oxygen	Saturation	Temperature_Optode	pH	Chlorophyll	Turbidity	pressure	flow_main	flow_SBE45	Phycocyanin	CDOM
2025.05.06	07:36:00	57.669409	11.786791	228.675258	11.000000	10.130035	2.530284	22.190181	1474.776519	10.010255	10.906080	97.797250	10.498000	9.058529	0.963333	1.709100	205.800032	8.940491	3.300751	1.126632	-0.017832
2025.05.06	07:37:00	57.667360	11.782509	227.331050	11.000000	10.153903	2.439251	21.301802	1473.792397	10.024935	10.893099	97.522500	10.428333	9.061328	0.958452	1.984402	206.345250	8.967182	3.310180	1.031333	-0.015625
2025.05.06	07:38:00	57.665152	11.778037	226.105023	11.000000	10.168917	2.505584	21.929166	1474.605690	10.006314	10.889291	97.498333	10.432500	9.062532	0.852692	1.977557	206.427254	8.943592	3.302311	1.012083	-0.017500
2025.05.06	07:39:00	57.662873	11.773772	223.215103	11.000000	10.182814	2.569033	22.530538	1475.383397	9.948138	10.916051	97.757400	10.441200	9.064200	0.811377	1.896585	206.325303	8.978257	3.304303	0.981750	-0.018750
2025.05.06	07:40:00	57.660707	11.769391	234.350000	11.000000	10.144962	2.512420	22.009384	1474.613534	9.878659	10.904331	97.588333	10.413000	9.062676	0.790275	1.895693	199.694033	8.977371	3.320903	1.022583	-0.014375
2025.05.06	07:41:00	57.659370	11.764079	249.522831	11.000000	10.074745	2.594584	22.844819	1475.362052	10.078333	10.882291	97.296600	10.371600	9.063355	0.896750	1.961646	203.430771	8.952452	3.320804	1.133417	-0.017708
2025.05.06	07:42:00	57.658360	11.758459	251.917241	11.000000	10.118178	2.504108	21.946460	1474.438121	10.097788	10.883920	97.198667	10.322333	9.072709	0.945978	1.952198	205.330169	8.962087	3.323294	1.057583	-0.014583
2025.05.06	07:43:00	57.657379	11.752704	251.697941	11.000000	10.233029	2.395783	20.841084	1473.530948	9.921226	10.900389	97.518500	10.398167	9.076008	0.826261	1.941658	205.186107	8.966296	3.315392	0.981167	-0.018333
2025.05.06	07:44:00	57.656390	11.746950	252.421053	11.000000	10.150614	2.589968	22.754009	1475.534155	9.893900	10.856781	97.180800	10.421000	9.066384	0.746442	1.982186	203.947177	8.987338	3.318247	0.964833	-0.020417
