$METADATA
$Version 2.3
$Project; FerryBox
$Device; 741601
$DateTime; 2025.05.07 07:13:01
$Filename; C:\Working\225_2025-05-07_07.11.44_Skagen_to_Skagen_741601.txt
$Watertimedelay; 00:00:00
$TrackStart: Skagen
$TrackEnd: Skagen
$FORMATS
$1; DateTime; YYYY.MM.DD hh:mm:ss
$2; Measdata; Float


$DATASETS
Units		°	°	°	Nm	°C	S/m	psu	m/s	°C	mg/l	%	°C	pH	µg/l	NTU	mbar	l/min	l/min	ppb	ppb
Date	Time	Latitude	Longitude	Course	Speed	Temp_SBE45	Cond_SBE45	Salinity_SBE45	SoundVel_SBE45	Temp_in_SBE38	Oxygen	Saturation	Temperature_Optode	pH	Chlorophyll	Turbidity	pressure	flow_main	flow_SBE45	Phycocyanin	CDOM
2025.05.07	07:13:00	57.713548	10.615654	89.560847	10.640212	11.883125	3.429387	29.661812	1489.989153	10.110034	9.273874	97.683571	17.779571	8.725509	0.305433	1.565325	202.787729	8.799438	3.123118	0.822392	-0.015619
2025.05.07	07:14:00	57.713577	10.621405	88.821809	11.000000	10.458779	3.393974	30.400133	1485.896667	10.203741	10.030842	95.508200	13.132600	8.928379	0.419758	1.803696	203.062860	8.792757	3.162357	0.674333	-0.015732
2025.05.07	07:15:00	57.713642	10.627034	88.000000	11.000000	10.411152	3.384334	30.344166	1485.657879	10.213697	10.484720	97.345833	12.006333	8.965543	0.335207	1.617853	203.802415	8.814907	3.190700	0.614929	-0.018163
2025.05.07	07:16:00	57.713724	10.632891	87.947644	11.000000	10.394448	3.383335	30.348164	1485.602483	10.332786	10.641779	97.802200	11.559400	8.987314	0.299200	1.532636	204.304798	8.853829	3.201433	0.630308	-0.014417
2025.05.07	07:17:00	57.713827	10.638727	87.723684	11.000000	10.458031	3.384644	30.308216	1485.783034	10.367087	10.794533	98.664333	11.321333	9.007413	0.323451	1.501037	203.681821	8.826268	3.193651	0.641261	-0.014783
2025.05.07	07:18:00	57.713938	10.644569	87.239474	11.000000	10.515374	3.384871	30.262778	1485.934293	10.422844	10.896165	99.255333	11.173500	9.017085	0.325125	1.509493	203.282788	8.804950	3.192143	0.633308	-0.016758
2025.05.07	07:19:00	57.714049	10.650426	87.460526	11.000000	10.549948	3.378286	30.168931	1485.945086	10.457328	10.932813	99.427000	11.103200	9.023175	0.319006	1.498110	203.655225	8.803796	3.190210	0.611634	-0.018226
2025.05.07	07:20:00	57.714154	10.656330	87.906915	11.000000	10.595623	3.366779	30.017432	1485.926175	10.422697	10.931077	99.357833	11.080167	9.026809	0.310108	1.511807	203.522017	8.821059	3.186037	0.618409	-0.014301
2025.05.07	07:21:00	57.714334	10.662201	83.332454	11.000000	10.602288	3.362683	29.971493	1485.894534	10.454734	10.932768	99.271667	11.035833	9.028947	0.297070	1.503672	207.600802	8.808264	3.180837	0.611644	-0.018000
2025.05.07	07:22:00	57.715096	10.667908	70.057895	11.000000	10.568955	3.362854	30.000586	1485.810052	10.663145	10.936262	99.164600	10.975400	9.033175	0.294808	1.507179	205.782905	8.809836	3.184017	0.623753	-0.012957
2025.05.07	07:23:00	57.716214	10.673495	67.214854	11.000000	10.714791	3.345314	29.708610	1485.980638	10.672725	10.953355	99.406000	11.012833	9.037070	0.301801	1.533242	207.035637	8.822622	3.178561	0.624065	-0.014620
