"Series Data"
"D:\ADCP08\drive-download-20250519T090248Z-1-001\OC4920_2025_3_20250508T091142_004_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	77
"Time/Ping = 00:00.00"
"First Ensemble Date = 25/05/08"
"First Ensemble Time = 09:12:21.07"
"Ensemble Interval (s) = "	300,01
"1st Bin Range (m) = "	12,23
"Bin Size (m) ="	4,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	     "deg"	     "deg"	     "deg"	     "deg"
									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20

1	25	05	08	09	12	21	07		123	179	217	250	357	326	325	283	228	251	169	213	194	148	131	60	44	-76	-2	188	-774	-125	-259	-136	150	-40	-96	-108	-205	-229	-251	-373	-416	-456	-503	-458	-532	-382	-172	-454	784	218	338	285	387	328	339	303	307	340	303	430	459	479	520	462	534	389	172	491	171,00	124,90	140,00	118,50	67,20	97,00	106,50	110,90	132,00	132,40	146,00	150,30	155,00	162,00	165,40	172,50	175,30	191,30	180,70	157,50	57,72066761	10,60053024	57,71685820	10,59708470
2	25	05	08	09	17	23	04																																																																																		57,71677287	10,59690876	57,71297956	10,60834369
3	25	05	08	09	22	23	08																																																																																		57,71298476	10,60842516	57,71544887	10,63825317
4	25	05	08	09	27	23	07																																																																																		57,71568331	10,64176669	57,71734385	10,66909824
5	25	05	08	09	32	24	01		1156																				389																				1220																				71,40																				57,71734385	10,66909824	57,71956665	10,69891669
6	25	05	08	09	37	22	06		366																				257																				447																				54,90																				57,72024290	10,70770604	57,72301664	10,73306666
7	25	05	08	09	42	24	05		260	1016																			338	1337																			426	1679																			37,60	37,20																			57,72241658	10,73113329	57,73492154	10,75365999
8	25	05	08	09	47	22	09		158	60	1058																		335	257	1171																		370	264	1578																		25,30	13,10	42,10																		57,73487996	10,75358723	57,74708334	10,77508329
9	25	05	08	09	52	22	04		121	118	64	669	1292																347	301	148	830	1537																367	323	161	1066	2008																19,20	21,40	23,40	38,90	40,10																57,74739943	10,77562460	57,75896670	10,79645002
10	25	05	08	09	57	24	04		134	152	121	129	205	1651															286	285	189	127	159	1710															316	323	224	181	259	2377															25,10	28,10	32,60	45,40	52,20	44,00															57,75899998	10,79651666	57,77281671	10,82340002
11	25	05	08	10	02	23	02		17	49	143	49	121	229	1041	2176													308	327	311	161	90	82	1026	1895													308	331	342	168	151	243	1462	2885													3,20	8,50	24,70	16,90	53,40	70,30	45,40	48,90													57,77091117	10,81964635	57,78286527	10,84348449
12	25	05	08	10	07	24	08		-11	58	76	-45	65	163	319	4363													272	307	287	194	178	199	195	298													272	312	297	199	189	257	374	4373													357,70	10,70	14,80	346,90	20,10	39,30	58,60	86,10													57,78302000	10,84379654	57,78512612	10,87369664
13	25	05	08	10	12	22	00		53	38	25	-22	26	159	1171	3171													209	295	273	193	167	216	251	160													216	297	274	194	169	268	1198	3175													14,20	7,30	5,20	353,50	8,80	36,40	77,90	87,10													57,78513023	10,87390459	57,78558335	10,90353336
14	25	05	08	10	17	24	06		184	114	79	83	4	74	315	3013													362	390	316	302	199	182	340	2485													406	406	326	313	199	196	463	3906													26,90	16,30	14,00	15,40	1,20	22,10	42,80	50,50													57,78558335	10,90363336	57,79481417	10,92918727
15	25	05	08	10	22	24	09		200	16	68	85	51	30	10	2062													467	406	333	282	219	251	313	2398													508	406	340	295	225	253	313	3163													23,20	2,30	11,50	16,80	13,10	6,80	1,80	40,70													57,79485206	10,92926170	57,80657072	10,95173517
16	25	05	08	10	27	25	07		113	47	81	81	133	45	83	803	2163												386	400	306	301	369	317	361	1167	2576												402	403	317	312	392	320	370	1417	3364												16,30	6,70	14,80	15,10	19,80	8,10	12,90	34,50	40,00												57,80623334	10,95111667	57,81794571	10,97199767
17	25	05	08	10	32	21	09		170	106	10	9	-9	36	26	50	2821												540	342	266	264	302	309	346	418	3365												566	358	266	264	302	311	347	421	4391												17,50	17,20	2,20	2,00	358,30	6,60	4,30	6,80	40,00												57,81798578	10,97206724	57,83076667	10,99388332
18	25	05	08	10	37	23	05		77	-16	-78	-59	-54	30	-80	-102	1971	1194											420	370	318	278	311	359	408	398	2561	1285											427	370	327	284	316	360	416	411	3232	1754											10,40	357,50	346,20	348,00	350,10	4,80	348,90	345,60	37,60	42,90											57,83080003	10,99395004	57,84178217	11,01215713
19	25	05	08	10	42	22	02		89	-132	-77	-140	-96	-105	-196	-233	399	2274											553	320	310	280	283	400	414	306	992	2937											560	346	319	313	299	414	458	385	1069	3714											9,10	337,60	346,10	333,40	341,30	345,30	334,70	322,70	21,90	37,70											57,84241492	11,01321492	57,85729263	11,03694493
20	25	05	08	10	47	24	02		82	-88	-91	-97	-129	-164	-240	-330	-231	2498											407	257	302	233	275	321	391	327	329	3237											415	272	315	252	304	360	459	465	402	4089											11,40	341,10	343,20	337,40	334,90	332,90	328,50	314,70	324,90	37,70											57,85737553	11,03707426	57,86965778	11,05615483
21	25	05	08	10	52	23	05		270	-27	-96	-69	-125	-148	-230	-323	-350	381	2284										547	252	208	180	250	316	306	282	256	1074	2895										610	253	229	193	280	349	383	429	434	1140	3688										26,30	353,90	335,20	339,00	333,40	334,90	323,10	311,10	306,20	19,50	38,30										57,86970162	11,05621593	57,88267035	11,07597367
22	25	05	08	10	57	22	07		31	-50	-89	-109	-115	-201	-281	-244	-191	-96	944	1198									353	170	37	96	210	202	199	183	134	334	907	854									354	177	96	145	239	285	344	305	233	348	1309	1471									5,00	343,60	292,60	311,40	331,30	315,10	305,30	306,90	305,10	344,00	46,10	54,50									57,88242241	11,07556807	57,89201668	11,09136670
23	25	05	08	11	02	25	00		73	-107	-131	-61	-175	-184	-189	-184	-109	-23	133	1008									278	98	6	89	123	79	26	62	158	167	155	751									287	145	131	108	214	200	191	194	192	169	204	1257									14,70	312,50	272,60	325,60	305,10	293,20	277,80	288,60	325,40	352,20	40,60	53,30									57,89205004	11,09141666	57,90226665	11,11334606
24	25	05	08	11	07	21	07		195	-31	-96	0	-21	-69	-123	-92	-82	-107	-92	43									330	148	143	114	171	158	118	156	212	125	127	906									383	151	172	114	172	172	170	181	227	165	157	907									30,60	348,20	326,10	0,00	353,00	336,40	313,80	329,50	338,90	319,40	324,10	2,70									57,90229264	11,11340725	57,90836667	11,11889999
25	25	05	08	11	12	23	00		270	97	-18	58	24	-7	-48	-72	-134	-57	-103	-82	35								130	80	107	100	161	97	98	84	123	137	110	39	9								300	126	109	116	163	97	109	111	182	148	151	91	36								64,30	50,50	350,50	30,10	8,50	355,90	333,90	319,40	312,50	337,40	316,90	295,40	75,60								57,90974750	11,11911817	57,91046667	11,12034998
26	25	05	08	11	17	22	09		28	-132	-136	-32	-85	-151	-234	-175	-148	-162	-136	-54	-1								188	91	100	106	110	36	-24	-19	59	36	1	-85	-100								190	160	169	111	139	155	235	176	159	166	136	101	100								8,50	304,60	306,30	343,20	322,30	283,40	264,10	263,80	291,70	282,50	270,40	212,40	180,60								57,91049684	11,12040253	57,91006174	11,12092087
27	25	05	08	11	22	25	08		13	-140	-137	-72	-64	-130	-168	-169	-157	-168	-141	-64	-20								220	117	47	94	98	35	-54	28	70	46	-16	-39	26								220	182	145	118	117	135	176	171	172	174	142	75	33								3,40	309,90	288,90	322,50	326,90	285,10	252,20	279,40	294,00	285,30	263,50	238,60	322,40								57,91005822	11,12092481	57,91027590	11,12131147
28	25	05	08	11	27	26	03		105	-64	-118	-48	-58	-115	-134	-182	-171	-92	-127	-88	-28								229	153	119	180	157	75	34	19	22	43	-14	1	22								252	166	168	186	167	137	138	183	172	102	128	88	36								24,60	337,30	315,20	345,10	339,70	303,10	284,20	276,00	277,30	295,10	263,70	270,70	308,20								57,91005000	11,12106663	57,91100001	11,12215066
