"Series Data"
"C:\Users\adcp-user\Documents\ADCP data\OC4920_2025\OC4920_2025_20250506T095214_002_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	75
"Time/Ping = 00:00.00"
"First Ensemble Date = 25/05/06"
"First Ensemble Time = 09:52:43.01"
"Ensemble Interval (s) = "	300,04
"1st Bin Range (m) = "	12,23
"Bin Size (m) ="	4,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Pit"	"Rol"	"Hea"	"Dep"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"deg"	"deg"	"deg"	"m"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	     "deg"	     "deg"	     "deg"	     "deg"
													1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10

1	25	05	06	09	52	43	01		-0,06	1,31	0,00	0,000	390	508									874	1160									57,63881338	11,69352623	57,64167345	11,70028615
2	25	05	06	09	57	45	04		-0,22	0,65	295,97	0,000	-23	-426	-394								73	401	-30								57,64177588	11,70030819	57,64738966	11,67914724
3	25	05	06	10	02	46	07		-0,25	-0,36	247,41	0,000	-182	-348	-730								-101	77	-493								57,64729771	11,67888874	57,63940003	11,65263335
4	25	05	06	10	07	44	00		-0,28	-0,56	270,24	0,000	-197	-459	-915	-985							-27	25	-56	-152							57,63862235	11,64871791	57,63732743	11,62111220
5	25	05	06	10	12	44	00		-0,24	-0,66	290,03	0,000	-277	-335	-385	-721							142	159	184	161							57,63732928	11,62090098	57,64146298	11,59007141
6	25	05	06	10	17	45	05		-0,22	-0,49	258,06	0,000	-81	-104	-92	-104	-321	-1121	-608				124	103	85	90	113	28	-121				57,64146298	11,59007141	57,63910155	11,55842688
7	25	05	06	10	22	44	00		-0,21	-0,10	214,81	0,000	-71	-61	-127	-140	-73	-91	-73	-125	-1471		243	249	221	228	203	216	169	122	-2275		57,64056670	11,56180001	57,62884998	11,54644998
8	25	05	06	10	27	44	04		-0,21	-0,02	204,15	0,000	-133	-166	-185	-198	-175	-173	-209	-130	-142		217	243	264	220	196	195	160	120	-10		57,62799997	11,54588336	57,61020812	11,53477952
9	25	05	06	10	32	46	02		-0,19	0,22	203,87	0,000	-144	-133	-100	-129	-117	-95	-140	-167	-175		246	242	251	173	174	151	185	163	135		57,61015800	11,53475228	57,59846206	11,52935307
10	25	05	06	10	37	47	01		-0,20	0,26	192,62	0,000	-159	-110	-104	-150	-168	-148	-147	-125	-105		278	297	218	210	204	114	116	148	178		57,59826089	11,52928920	57,58347169	11,52577543
11	25	05	06	10	42	43	07		-0,21	0,42	194,38	0,000	-56	-88	-22	-52	-54	-78	-76	-61	-24		207	255	245	252	169	266	148	192	253		57,58331370	11,52575104	57,56448132	11,52230448
12	25	05	06	10	47	45	02		0,04	-0,10	200,05	0,000	-92	-66	-89	-107	-171	-159	-144	-107	-139		149	214	202	201	189	217	180	179	210		57,56441628	11,52229442	57,55925135	11,52186091
13	25	05	06	10	52	43	05		0,10	-0,05	288,86	0,000	-39	-3	-2	-47	-68	-91	-69	-74	-81		176	207	210	223	240	260	190	245	234		57,55924657	11,52187189	57,55908924	11,52265275
14	25	05	06	10	57	46	00		0,06	0,02	336,77	0,000	-14	-2	46	-7	-22	-70	-2	-4	-75		180	224	223	262	250	247	248	234	252		57,55908924	11,52265275	57,55909209	11,52266021
