ts,fb_quality,fb_pressure,fb_flow,watertemp,salinity,sndspeed,ph,oxygen,saturation,chlorophyll,phycocyanin,turbidity
5/19/2025 6:29,0,174.871,7.439,8.733,27.383,1504.567,,6.124,69.089,0.238,0.987,7.82
5/19/2025 6:30,0,173.408,7.506,8.643,29.034,1489.021,,7.302,75.182,0.464,0.952,8.82
5/19/2025 6:31,0,174.738,7.539,8.841,29.672,1483.345,,8.265,79.428,0.571,0.987,8.19
5/19/2025 6:32,0,175.004,7.632,8.527,29.064,1480.923,,8.687,80.202,0.607,0.938,7.8
5/19/2025 6:33,0,176.733,7.632,8.402,30.691,1481.405,,8.859,80.143,0.643,0.98,8.21
5/19/2025 6:34,0,177.531,7.632,8.324,31.08,1481.209,,9.026,80.419,0.738,0.91,8.34
5/19/2025 6:35,0,180.456,7.692,8.497,32.003,1481.596,,9.106,80.546,0.738,1.071,7.97
5/19/2025 6:36,0,173.94,7.692,8.43,31.878,1481.3,,9.121,80.477,0.738,0.966,7.39
5/19/2025 6:37,0,176.866,7.632,8.46,31.411,1480.988,,9.175,80.561,0.714,1.001,7.36
5/19/2025 6:38,0,180.323,7.566,8.497,31.153,1480.583,,9.199,80.778,0.666,0.966,7.31
5/19/2025 6:39,0,178.329,7.692,8.259,31.84,1481.348,,9.259,80.997,0.619,0.973,7.27
5/19/2025 6:40,0,178.595,7.698,8.724,32.399,1481.776,,9.204,80.496,0.654,1.288,7.56
5/19/2025 6:41,0,180.855,7.758,8.338,32.01,1481.1,,9.352,81.402,1.012,1.183,7.41
5/19/2025 6:42,0,178.861,7.632,8.552,31.399,1480.905,,9.487,82.653,0.904,1.085,7.19
5/19/2025 6:43,0,175.802,7.625,8.379,31.613,1480.869,,9.538,83.099,0.821,1.071,6.97
5/19/2025 6:44,0,177.797,7.692,8.46,31.897,1481.205,,9.632,83.79,0.976,1.232,6.8
5/19/2025 6:45,0,176.068,7.825,8.41,32.302,1481.634,,9.769,84.899,1.333,1.463,6.88
