ts,latitude,longitude,gndspeed,gndcourse,gps_quality,nbused,hdop
2025-05-06 07:00:00,57.686355,11.893357,0,329.6,5,9,1.3
2025-05-06 07:01:00,57.686355,11.893356,0,96.92,5,9,1.3
2025-05-06 07:02:00,57.686355,11.893358,0,156.77,5,9,1.3
2025-05-06 07:03:00,57.686355,11.893356,0,95.12,5,9,1.3
2025-05-06 07:04:00,57.686363,11.893342,0,247.44,5,9,1.3
2025-05-06 07:05:00,57.686356,11.893355,0,256.79,5,9,1.3
2025-05-06 07:06:00,57.686362,11.893334,0.2,293,5,10,0.8
2025-05-06 07:07:00,57.686423,11.893226,0.4,335.41,5,10,0.9
2025-05-06 07:08:00,57.686593,11.893097,0.9,349.1,5,10,0.8
2025-05-06 07:09:00,57.687177,11.893025,4.2,353.32,5,10,0.8
2025-05-06 07:10:00,57.688379,11.891441,6.7,292.44,5,10,0.8
2025-05-06 07:11:00,57.688296,11.887703,8,257.01,5,10,0.8
2025-05-06 07:12:00,57.687816,11.88352,8.4,257.27,5,10,0.8
2025-05-06 07:13:00,57.687448,11.879171,8.6,262.96,5,10,0.8
2025-05-06 07:14:00,57.687144,11.874746,8.6,262.69,5,10,0.8
2025-05-06 07:15:00,57.68682,11.870379,8.5,258.87,5,10,0.8
2025-05-06 07:16:00,57.68634,11.866001,8.5,258.31,5,9,0.9
2025-05-06 07:17:00,57.685866,11.861688,8.5,259.13,5,10,0.8
2025-05-06 07:18:00,57.68541,11.857387,8.4,258.45,5,10,0.8
2025-05-06 07:19:00,57.685048,11.85306,8.5,262.32,5,10,0.8
2025-05-06 07:20:00,57.684698,11.848713,8.5,260.42,5,10,0.8
2025-05-06 07:21:00,57.684319,11.844398,8.6,259.45,5,10,0.8
2025-05-06 07:22:00,57.683882,11.840003,8.6,258.9,5,11,0.8
2025-05-06 07:23:00,57.683444,11.835596,9,259.52,5,11,0.8
2025-05-06 07:24:00,57.682852,11.830523,10.9,257,5,11,0.8
2025-05-06 07:25:00,57.682149,11.824868,11.4,257.26,5,11,0.8
2025-05-06 07:26:00,57.681381,11.819087,11.6,252.75,5,11,0.8
2025-05-06 07:27:00,57.680223,11.813387,11.6,244.49,5,11,0.8
2025-05-06 07:28:00,57.678546,11.808338,11.5,234.77,5,11,0.8
2025-05-06 07:29:00,57.676618,11.803557,11.6,232.6,5,11,0.8
2025-05-06 07:30:00,57.674595,11.798868,11.7,231.59,5,11,0.8
2025-05-06 07:31:00,57.6726,11.794116,11.7,231.95,5,11,0.8
2025-05-06 07:32:00,57.670647,11.789447,11.6,230.55,5,11,0.8
2025-05-06 07:33:00,57.668536,11.784866,11.8,228.22,5,10,0.9
2025-05-06 07:34:00,57.666341,11.780357,11.8,228.02,5,10,0.9
2025-05-06 07:35:00,57.664108,11.775969,11.7,225.83,5,10,0.9
2025-05-06 07:36:00,57.661776,11.771821,11.6,223.15,5,10,0.9
2025-05-06 07:37:00,57.659963,11.766994,11.3,246.63,5,10,0.9
2025-05-06 07:38:00,57.658892,11.76146,11.5,251.25,5,10,0.9
2025-05-06 07:39:00,57.657906,11.755667,11.7,252.64,2,10,0.9
2025-05-06 07:40:00,57.656911,11.749896,11.7,252.04,2,10,0.9
2025-05-06 07:41:00,57.655962,11.744122,11.6,254.66,2,10,0.9
2025-05-06 07:42:00,57.655108,11.738304,11.6,255.26,5,11,0.8
2025-05-06 07:43:00,57.654246,11.732476,11.7,254.49,5,11,0.8
2025-05-06 07:44:00,57.653382,11.726708,11.9,254.91,5,11,0.8
2025-05-06 07:45:00,57.652503,11.720778,12,254.16,5,11,0.8
2025-05-06 07:46:00,57.651382,11.714978,12,243.34,5,11,0.8
2025-05-06 07:47:00,57.649533,11.709869,11.9,227.72,5,11,0.8
2025-05-06 07:48:00,57.647091,11.705799,11.8,220.93,5,11,0.8
2025-05-06 07:49:00,57.644634,11.701857,11.6,218.3,5,11,0.8
2025-05-06 07:50:00,57.642047,11.698158,11.5,217.03,5,11,0.8
2025-05-06 07:51:00,57.639534,11.694572,11.2,218.02,2,11,0.8
2025-05-06 07:52:00,57.637311,11.692075,7.8,181.45,2,11,0.8
2025-05-06 07:53:00,57.635569,11.693575,6.7,140.52,2,11,0.8
2025-05-06 07:54:00,57.635767,11.696345,7.2,41.61,2,11,0.8
2025-05-06 07:55:00,57.637926,11.698139,10,13.73,5,11,0.8
2025-05-06 07:56:00,57.64069,11.699883,11.1,17.67,5,10,0.9
2025-05-06 07:57:00,57.643752,11.700076,11.3,347.36,5,10,0.9
2025-05-06 07:58:00,57.64638,11.697161,11.3,311.76,5,10,0.9
2025-05-06 07:59:00,57.648171,11.692281,11.6,295.42,5,10,0.9
2025-05-06 08:00:00,57.649119,11.686532,11.6,275,5,10,0.9
2025-05-06 08:01:00,57.648089,11.681059,11.7,234.75,5,10,0.9
2025-05-06 08:02:00,57.646215,11.675807,12.1,236.85,5,10,0.9
2025-05-06 08:03:00,57.644475,11.670399,12.3,242.47,5,10,0.8
2025-05-06 08:04:00,57.64285,11.664786,12.4,241.74,5,10,0.8
2025-05-06 08:05:00,57.641201,11.659195,12.3,241.12,5,10,0.8
2025-05-06 08:06:00,57.639618,11.653574,12.2,245.8,5,11,0.8
2025-05-06 08:07:00,57.638477,11.647773,12.1,253.94,5,11,0.8
2025-05-06 08:08:00,57.637599,11.64171,12.2,260.73,5,11,0.8
2025-05-06 08:09:00,57.637299,11.635449,12.2,267.58,5,11,0.8
2025-05-06 08:10:00,57.637174,11.629156,12.2,269.45,5,11,0.8
2025-05-06 08:11:00,57.637291,11.622862,12.2,271.92,5,11,0.8
2025-05-06 08:12:00,57.637406,11.616537,12.2,274.58,5,11,0.8
2025-05-06 08:13:00,57.638057,11.610237,12.3,288.51,5,11,0.8
2025-05-06 08:14:00,57.639139,11.604132,12.3,289.05,5,11,0.8
2025-05-06 08:15:00,57.640219,11.598138,12.2,288.32,5,11,0.8
2025-05-06 08:16:00,57.641159,11.592199,12,284.32,5,11,0.8
2025-05-06 08:17:00,57.642038,11.586368,11.6,286.33,5,11,0.8
2025-05-06 08:18:00,57.642811,11.580717,11.5,275.83,5,11,0.8
2025-05-06 08:19:00,57.642779,11.574845,11.4,262.56,5,11,0.8
2025-05-06 08:20:00,57.642122,11.569104,11.4,252.75,5,11,0.8
2025-05-06 08:21:00,57.641122,11.563582,11,245.24,5,11,0.8
