ts,airtemp,humidity,airpressure,windspeed,winddir
2025-05-06 07:00:00,8.8,42,1014.2,3.4,12
2025-05-06 07:01:00,8.8,42,1014.2,3.3,13
2025-05-06 07:02:00,8.8,43,1014.3,3.1,332
2025-05-06 07:03:00,8.8,42,1014.2,2.5,7
2025-05-06 07:04:00,8.9,42,1014.2,3.8,356
2025-05-06 07:05:00,8.9,45,1014.2,2.4,340
2025-05-06 07:06:00,8.9,44,1014.1,4.5,338
2025-05-06 07:07:00,8.9,41,1014.3,4,350
2025-05-06 07:08:00,8.8,42,1014.3,5.3,26
2025-05-06 07:09:00,8.7,42,1014.2,5.6,73
2025-05-06 07:10:00,8.7,43,1014.2,6.2,62
2025-05-06 07:11:00,8.7,42,1014.3,4.4,106
2025-05-06 07:12:00,8.6,42,1014.3,3.2,113
2025-05-06 07:13:00,8.6,42,1014.3,3.1,102
2025-05-06 07:14:00,8.6,43,1014.2,6.7,99
2025-05-06 07:15:00,8.6,42,1014.3,5.4,120
2025-05-06 07:16:00,8.6,42,1014.3,4,118
2025-05-06 07:17:00,8.6,42,1014.3,2.3,169
2025-05-06 07:18:00,8.7,42,1014.3,2.3,39
2025-05-06 07:19:00,8.7,42,1014.3,5.6,90
2025-05-06 07:20:00,8.7,41,1014.2,7.2,98
2025-05-06 07:21:00,8.7,41,1014.2,5.5,120
2025-05-06 07:22:00,8.7,43,1014.4,4,100
2025-05-06 07:23:00,8.8,42,1014.4,2.7,96
2025-05-06 07:24:00,8.8,42,1014.3,4.2,81
2025-05-06 07:25:00,8.8,42,1014.4,5.5,108
2025-05-06 07:26:00,8.9,44,1014.4,3.5,103
2025-05-06 07:27:00,8.8,42,1014.5,1.3,111
2025-05-06 07:28:00,8.9,42,1014.6,1.4,174
2025-05-06 07:29:00,8.9,41,1014.7,1.4,161
2025-05-06 07:30:00,8.9,43,1014.5,2,71
2025-05-06 07:31:00,8.9,44,1014.5,3.7,100
2025-05-06 07:32:00,8.8,41,1014.6,3.6,87
2025-05-06 07:33:00,8.9,41,1014.5,3.9,105
2025-05-06 07:34:00,8.8,41,1014.6,3.3,123
2025-05-06 07:35:00,8.8,44,1014.6,3.7,118
2025-05-06 07:36:00,8.8,41,1014.6,3.6,124
2025-05-06 07:37:00,8.8,46,1014.5,6.3,93
2025-05-06 07:38:00,8.8,44,1014.6,5.1,100
2025-05-06 07:39:00,8.8,42,1014.6,6.2,100
2025-05-06 07:40:00,8.8,42,1014.5,4.8,83
2025-05-06 07:41:00,8.8,42,1014.6,5.4,95
2025-05-06 07:42:00,8.8,42,1014.6,4.6,100
2025-05-06 07:43:00,8.8,43,1014.5,4.1,92
2025-05-06 07:44:00,8.8,46,1014.6,6.2,101
2025-05-06 07:45:00,8.8,47,1014.6,6.4,92
2025-05-06 07:46:00,8.9,41,1014.7,4.4,108
2025-05-06 07:47:00,8.9,44,1014.7,2.9,128
2025-05-06 07:48:00,8.9,43,1014.7,1.9,141
2025-05-06 07:49:00,8.9,40,1014.8,1,162
2025-05-06 07:50:00,9,39,1014.8,0,155
2025-05-06 07:51:00,8.9,39,1014.8,0.7,163
2025-05-06 07:52:00,9,39,1014.7,3.7,274
2025-05-06 07:53:00,9.1,42,1014.7,0.9,299
2025-05-06 07:54:00,9.2,42,1014.4,11,18
2025-05-06 07:55:00,9.1,45,1014.2,12.7,26
2025-05-06 07:56:00,9.1,42,1014.4,11.5,31
2025-05-06 07:57:00,9.1,43,1014.2,12.8,39
2025-05-06 07:58:00,9.1,42,1014.4,9.2,59
2025-05-06 07:59:00,9,40,1014.6,8.6,68
2025-05-06 08:00:00,9,41,1014.7,6,100
2025-05-06 08:01:00,9.1,42,1015,1.2,153
2025-05-06 08:02:00,9.1,43,1014.9,1.7,109
2025-05-06 08:03:00,9.1,44,1014.9,3.3,99
2025-05-06 08:04:00,9.1,46,1014.9,4.5,121
2025-05-06 08:05:00,9.1,48,1014.9,3.6,68
2025-05-06 08:06:00,9.1,46,1014.9,4.6,78
2025-05-06 08:07:00,9.1,42,1014.8,6.2,85
2025-05-06 08:08:00,9.1,43,1014.9,6.2,74
2025-05-06 08:09:00,9.1,43,1014.9,6.7,66
2025-05-06 08:10:00,9,42,1014.9,7.5,73
2025-05-06 08:11:00,9.1,44,1014.9,8,76
2025-05-06 08:12:00,9,42,1014.9,6.4,72
2025-05-06 08:13:00,9.1,44,1014.8,8,60
2025-05-06 08:14:00,9.1,42,1014.4,9.8,59
2025-05-06 08:15:00,9.2,41,1014.6,9.1,60
2025-05-06 08:16:00,9.1,49,1014.5,10.3,65
2025-05-06 08:17:00,9,49,1014.5,10,60
2025-05-06 08:18:00,8.9,50,1014.6,10.7,67
2025-05-06 08:19:00,8.8,51,1014.7,9.3,73
2025-05-06 08:20:00,8.7,50,1014.9,8.8,82
2025-05-06 08:21:00,8.7,49,1014.8,8.6,95
2025-05-06 08:22:00,8.7,49,1015,6.3,102
2025-05-06 08:23:00,8.6,48,1015.1,5.6,112
2025-05-06 08:24:00,8.6,48,1015.3,4.9,120
2025-05-06 08:25:00,8.6,51,1015.2,3.1,126
2025-05-06 08:26:00,8.6,46,1015.2,2.4,155
2025-05-06 08:27:00,8.6,48,1015.3,3.2,130
2025-05-06 08:28:00,8.6,48,1015.4,2.7,139
2025-05-06 08:29:00,8.7,48,1015.2,1.9,142
2025-05-06 08:30:00,8.7,50,1015.2,2.6,123
2025-05-06 08:31:00,8.6,48,1015.4,3.3,146
2025-05-06 08:32:00,8.7,52,1015.3,2,132
2025-05-06 08:33:00,8.7,46,1015.2,2.7,131
2025-05-06 08:34:00,8.7,47,1015.3,2.1,124
2025-05-06 08:35:00,8.7,47,1015.3,1.6,148
2025-05-06 08:36:00,8.7,47,1015.2,2,140
2025-05-06 08:37:00,8.8,47,1015.3,0.8,142
2025-05-06 08:38:00,8.8,46,1015.3,0.9,140
2025-05-06 08:39:00,8.8,49,1015.3,0.8,124
2025-05-06 08:40:00,8.8,47,1015.3,1.3,142
2025-05-06 08:41:00,8.8,46,1015.3,1.3,132
2025-05-06 08:42:00,8.9,47,1015.4,1.4,133
2025-05-06 08:43:00,8.9,45,1015.3,1.4,130
2025-05-06 08:44:00,8.9,49,1015.3,1.3,115
2025-05-06 08:45:00,8.9,45,1015.3,0.5,140
2025-05-06 08:46:00,9,48,1015.4,1.4,94
2025-05-06 08:47:00,9,49,1015.4,1.7,151
2025-05-06 08:48:00,9,48,1015.4,2,166
2025-05-06 08:49:00,8.9,49,1015.4,2.1,175
2025-05-06 08:50:00,8.9,48,1015.4,2.1,172
2025-05-06 08:51:00,8.8,46,1015.3,6.8,121
2025-05-06 08:52:00,8.8,47,1015.2,6.2,103
2025-05-06 08:53:00,8.8,45,1015.2,6.1,109
2025-05-06 08:54:00,8.8,47,1015.3,6.7,120
2025-05-06 08:55:00,8.8,49,1015.2,6,58
2025-05-06 08:56:00,8.9,47,1015.2,7.1,49
2025-05-06 08:57:00,8.8,49,1015.2,6.3,44
2025-05-06 08:58:00,8.9,49,1015.3,7.4,43
2025-05-06 08:59:00,8.9,46,1015.2,7.2,42
2025-05-06 09:00:00,8.9,46,1015.2,6.9,45
2025-05-06 09:01:00,8.9,47,1015.3,6.2,40
2025-05-06 09:02:00,8.9,46,1015.3,6.4,44
2025-05-06 09:03:00,8.9,46,1015.2,6.4,46
2025-05-06 09:04:00,8.9,48,1015.3,6.3,39
2025-05-06 09:05:00,9,49,1015.3,5.8,48
2025-05-06 09:06:00,9,49,1015.3,6.3,43
2025-05-06 09:07:00,9,48,1015.3,6.5,45
2025-05-06 09:08:00,9,54,1015.4,6,36
2025-05-06 09:09:00,9.1,52,1015.3,5.8,52
2025-05-06 09:10:00,9,48,1015.3,6.2,43
2025-05-06 09:11:00,9,44,1015.2,7.2,45
2025-05-06 09:12:00,9,45,1015.3,6.3,47
2025-05-06 09:13:00,9,48,1015.4,6.1,45
2025-05-06 09:14:00,9,48,1015.2,7,46
2025-05-06 09:15:00,9,46,1015.3,6.5,45
2025-05-06 09:16:00,9,45,1015.3,6.4,43
2025-05-06 09:17:00,9,44,1015.3,5.9,45
2025-05-06 09:18:00,9,44,1015.3,6.5,47
2025-05-06 09:19:00,9,43,1015.4,6.4,44
2025-05-06 09:20:00,9,46,1015.3,5.5,48
2025-05-06 09:21:00,9.1,46,1015.3,5.9,46
2025-05-06 09:22:00,9.1,46,1015.3,5.9,41
2025-05-06 09:23:00,9.1,46,1015.4,6.1,53
2025-05-06 09:24:00,9,44,1015.3,6.8,68
2025-05-06 09:25:00,9.1,49,1015.4,5.6,86
2025-05-06 09:26:00,9.1,46,1015.4,6.3,68
2025-05-06 09:27:00,9.1,48,1015.4,6.7,71
2025-05-06 09:28:00,9.1,48,1015.4,6.8,70
2025-05-06 09:29:00,9,49,1015.5,6.8,67
2025-05-06 09:30:00,9.1,48,1015.4,7.5,64
2025-05-06 09:31:00,9,50,1015.3,8.7,60
2025-05-06 09:32:00,9,46,1015.3,8.4,66
2025-05-06 09:33:00,9,47,1015.4,8.1,63
2025-05-06 09:34:00,9,48,1015.3,8.1,58
2025-05-06 09:35:00,9,48,1015.5,7.9,63
2025-05-06 09:36:00,9,46,1015.6,7.5,64
2025-05-06 09:37:00,9,45,1015.5,6.2,62
2025-05-06 09:38:00,9,49,1015.6,7.1,67
2025-05-06 09:39:00,9,47,1015.6,7,68
2025-05-06 09:40:00,9,49,1015.6,6.5,68
2025-05-06 09:41:00,9,49,1015.6,7.5,66
2025-05-06 09:42:00,9,47,1015.7,7.1,63
2025-05-06 09:43:00,9,47,1015.6,7.1,61
2025-05-06 09:44:00,9,47,1015.5,7.1,67
2025-05-06 09:45:00,9,46,1015.7,6.5,59
2025-05-06 09:46:00,9,47,1015.6,7.2,72
2025-05-06 09:47:00,9,47,1015.7,6.5,68
2025-05-06 09:48:00,9,45,1015.6,6.6,66
2025-05-06 09:49:00,9,46,1015.7,6.7,65
2025-05-06 09:50:00,9,47,1015.8,6.5,73
2025-05-06 09:51:00,9,46,1015.7,6.6,69
2025-05-06 09:52:00,9,51,1015.6,8.1,66
2025-05-06 09:53:00,9.1,53,1015.8,7.8,73
2025-05-06 09:54:00,9,51,1015.7,7.7,74
2025-05-06 09:55:00,9,50,1015.8,7.7,72
2025-05-06 09:56:00,9,51,1015.7,7.7,70
2025-05-06 09:57:00,9,51,1015.7,6.8,74
2025-05-06 09:58:00,9,49,1015.8,6.6,66
2025-05-06 09:59:00,9,48,1015.7,7.1,74
2025-05-06 10:00:00,9,50,1015.7,8,67
