Station,Date,Latitude,Longitude
CTD_01,06-05-2025,57.55908,11.52267
CTD_02,06-05-2025,57.38777,10.91448
CTD_03,06-05-2025,57.45603,10.91703
CTD_04,06-05-2025,57.55742,10.92852
CTD_05,07-05-2025,57.93132,10.7829
CTD_06,07-05-2025,57.93152,10.78217
CTD_07,07-05-2025,57.91377,10.77933
CTD_08,07-05-2025,57.89787,10.78037
CTD_09,07-05-2025,57.8809,10.779
CTD_10,07-05-2025,57.8635,10.77672
CTD_11,07-05-2025,57.84738,10.77847
CTD_12,07-05-2025,57.8307,10.77527
CTD_13,07-05-2025,57.81407,10.7719
CTD_14,07-05-2025,57.79728,10.7698
CTD_15,07-05-2025,57.77958,10.772
CTD_16,07-05-2025,57.77958,10.77207
CTD_17,08-05-2025,57.91045,11.12052
CTD_18,08-05-2025,57.55908,11.52267
