Date,Time,Latitude,Longitude
2025.05.06,07:37:00,57.66736,11.782509
2025.05.06,07:38:00,57.665152,11.778037
2025.05.06,07:39:00,57.662873,11.773772
2025.05.06,07:40:00,57.660707,11.769391
2025.05.06,07:41:00,57.65937,11.764079
2025.05.06,07:42:00,57.65836,11.758459
2025.05.06,07:43:00,57.657379,11.752704
2025.05.06,07:44:00,57.65639,11.74695
2025.05.06,07:45:00,57.655504,11.74114
2025.05.06,07:46:00,57.654654,11.735325
2025.05.06,07:47:00,57.653779,11.729467
2025.05.06,07:48:00,57.652905,11.723576
2025.05.06,07:49:00,57.651943,11.717682
2025.05.06,07:50:00,57.650448,11.712236
2025.05.06,07:51:00,57.64824,11.7077
2025.05.06,07:52:00,57.645783,11.70372
2025.05.06,07:53:00,57.643275,11.699947
2025.05.06,07:54:00,57.640739,11.696337
2025.05.06,07:55:00,57.638357,11.693028
2025.05.06,07:56:00,57.636339,11.692715
2025.05.06,07:57:00,57.635444,11.695055
2025.05.06,07:58:00,57.636799,11.697407
2025.05.06,07:59:00,57.639364,11.699001
2025.05.06,08:00:00,57.642314,11.70022
2025.05.06,08:01:00,57.645235,11.698784
2025.05.06,08:02:00,57.647385,11.694644
2025.05.06,08:03:00,57.648737,11.689268
2025.05.06,08:04:00,57.648759,11.683517
2025.05.06,08:05:00,57.647096,11.678362
2025.05.06,08:06:00,57.645277,11.673099
2025.05.06,08:07:00,57.643631,11.667542
2025.05.06,08:08:00,57.641993,11.66194
2025.05.06,08:09:00,57.640358,11.656347
2025.05.06,08:10:00,57.638962,11.650599
2025.05.06,08:11:00,57.63797,11.644591
2025.05.06,08:12:00,57.63739,11.638402
2025.05.06,08:13:00,57.637216,11.632115
2025.05.06,08:14:00,57.637206,11.625827
2025.05.06,08:15:00,57.637333,11.619515
2025.05.06,08:16:00,57.637648,11.61323
2025.05.06,08:17:00,57.63859,11.607089
2025.05.06,08:18:00,57.639693,11.601049
2025.05.06,08:19:00,57.640712,11.59508
2025.05.06,08:20:00,57.641589,11.58917
2025.05.06,08:21:00,57.642469,11.583417
2025.05.06,08:22:00,57.642846,11.577593
2025.05.06,08:23:00,57.642469,11.571773
2025.05.06,08:24:00,57.641586,11.566172
2025.05.06,08:25:00,57.640224,11.561096
2025.05.06,08:26:00,57.638275,11.556692
2025.05.06,08:27:00,57.63609,11.552671
2025.05.06,08:28:00,57.633597,11.549549
2025.05.06,08:29:00,57.630776,11.54767
2025.05.06,08:30:00,57.627896,11.545868
2025.05.06,08:31:00,57.625002,11.544038
2025.05.06,08:32:00,57.622089,11.542202
2025.05.06,08:33:00,57.619154,11.540381
2025.05.06,08:34:00,57.616203,11.538523
2025.05.06,08:35:00,57.613248,11.536699
2025.05.06,08:36:00,57.61029,11.534877
2025.05.06,08:37:00,57.607323,11.533055
2025.05.06,08:38:00,57.604363,11.531337
2025.05.06,08:39:00,57.601346,11.530262
2025.05.06,08:40:00,57.598298,11.529358
2025.05.06,08:41:00,57.595218,11.528539
2025.05.06,08:42:00,57.592118,11.527736
2025.05.06,08:43:00,57.589003,11.526988
2025.05.06,08:44:00,57.585872,11.526294
2025.05.06,08:45:00,57.582717,11.525674
2025.05.06,08:46:00,57.579559,11.525078
2025.05.06,08:47:00,57.576367,11.524495
2025.05.06,08:48:00,57.573169,11.523923
2025.05.06,08:49:00,57.569965,11.523319
2025.05.06,08:50:00,57.566888,11.522753
2025.05.06,08:51:00,57.564534,11.522338
2025.05.06,08:52:00,57.562719,11.52203
2025.05.06,08:53:00,57.561029,11.521762
2025.05.06,08:54:00,57.559779,11.521505
2025.05.06,08:55:00,57.559407,11.521431
2025.05.06,08:56:00,57.559242,11.521719
2025.05.06,08:57:00,57.559103,11.522079
2025.05.06,08:58:00,57.559083,11.522394
2025.05.06,08:59:00,57.559146,11.522574
2025.05.06,09:00:00,57.559156,11.52259
2025.05.06,09:01:00,57.559154,11.522574
2025.05.06,09:02:00,57.559151,11.522574
2025.05.06,09:03:00,57.559156,11.522577
2025.05.06,09:04:00,57.559153,11.52258
2025.05.06,09:05:00,57.559151,11.522578
2025.05.06,09:06:00,57.559156,11.522581
2025.05.06,09:07:00,57.55915,11.522586
2025.05.06,09:08:00,57.559153,11.522592
2025.05.06,09:09:00,57.559157,11.522594
2025.05.06,09:10:00,57.559155,11.522584
2025.05.06,09:11:00,57.559152,11.522582
2025.05.06,09:12:00,57.559153,11.522583
2025.05.06,09:13:00,57.55915,11.522584
2025.05.06,09:14:00,57.55915,11.522583
2025.05.06,09:15:00,57.559155,11.522582
2025.05.06,09:16:00,57.559153,11.522586
2025.05.06,09:17:00,57.55915,11.522587
2025.05.06,09:18:00,57.559153,11.522582
2025.05.06,09:19:00,57.559152,11.522585
2025.05.06,09:20:00,57.559156,11.522586
2025.05.06,09:21:00,57.559155,11.522584
2025.05.06,09:22:00,57.559151,11.522586
2025.05.06,09:23:00,57.559155,11.522582
2025.05.06,09:24:00,57.559156,11.522582
2025.05.06,09:25:00,57.559154,11.522583
2025.05.06,09:26:00,57.559148,11.522583
2025.05.06,09:27:00,57.559159,11.52256
2025.05.06,09:28:00,57.559331,11.521508
2025.05.06,09:29:00,57.55886,11.518737
2025.05.06,09:30:00,57.557967,11.514336
2025.05.06,09:31:00,57.556906,11.509233
2025.05.06,09:32:00,57.555798,11.503995
2025.05.06,09:33:00,57.554681,11.49874
2025.05.06,09:34:00,57.553689,11.493404
2025.05.06,09:35:00,57.553328,11.487894
2025.05.06,09:36:00,57.553084,11.482301
2025.05.06,09:37:00,57.552845,11.476738
2025.05.06,09:38:00,57.552579,11.471189
2025.05.06,09:39:00,57.551948,11.465788
2025.05.06,09:40:00,57.550681,11.460715
2025.05.06,09:41:00,57.549305,11.455711
2025.05.06,09:42:00,57.547946,11.450712
2025.05.06,09:43:00,57.546582,11.445693
2025.05.06,09:44:00,57.545225,11.440692
2025.05.06,09:45:00,57.543861,11.43568
2025.05.06,09:46:00,57.542485,11.430636
2025.05.06,09:47:00,57.541123,11.425562
2025.05.06,09:48:00,57.539768,11.420496
2025.05.06,09:49:00,57.538392,11.415428
2025.05.06,09:50:00,57.537028,11.410312
2025.05.06,09:51:00,57.535647,11.405189
2025.05.06,09:52:00,57.534266,11.400075
2025.05.06,09:53:00,57.532904,11.394961
2025.05.06,09:54:00,57.531519,11.389834
2025.05.06,09:55:00,57.53014,11.384715
2025.05.06,09:56:00,57.528742,11.37963
2025.05.06,09:57:00,57.527347,11.374513
2025.05.06,09:58:00,57.525961,11.369365
2025.05.06,09:59:00,57.524576,11.36421
2025.05.06,10:00:00,57.523211,11.359068
2025.05.06,10:01:00,57.521846,11.353928
2025.05.06,10:02:00,57.520483,11.348804
2025.05.06,10:03:00,57.51912,11.343689
2025.05.06,10:04:00,57.517782,11.338586
2025.05.06,10:05:00,57.516446,11.333478
2025.05.06,10:06:00,57.515096,11.328366
2025.05.06,10:07:00,57.513743,11.323235
2025.05.06,10:08:00,57.512381,11.31819
2025.05.06,10:09:00,57.511055,11.313212
2025.05.06,10:10:00,57.50973,11.3082
2025.05.06,10:11:00,57.508402,11.30317
2025.05.06,10:12:00,57.507075,11.298134
2025.05.06,10:13:00,57.505737,11.293061
2025.05.06,10:14:00,57.504396,11.287968
2025.05.06,10:15:00,57.503058,11.282899
2025.05.06,10:16:00,57.501722,11.277841
2025.05.06,10:17:00,57.500403,11.272793
2025.05.06,10:18:00,57.499082,11.267711
2025.05.06,10:19:00,57.497758,11.262636
2025.05.06,10:20:00,57.496431,11.257591
2025.05.06,10:21:00,57.495101,11.252527
2025.05.06,10:22:00,57.49376,11.247462
2025.05.06,10:23:00,57.492416,11.242376
2025.05.06,10:24:00,57.49107,11.23728
2025.05.06,10:25:00,57.489721,11.232212
2025.05.06,10:26:00,57.48808,11.227452
2025.05.06,10:27:00,57.486365,11.22273
2025.05.06,10:28:00,57.484678,11.218006
2025.05.06,10:29:00,57.482996,11.213295
2025.05.06,10:30:00,57.481304,11.208557
2025.05.06,10:31:00,57.479598,11.20381
2025.05.06,10:32:00,57.4779,11.199043
2025.05.06,10:33:00,57.476208,11.194271
2025.05.06,10:34:00,57.474454,11.189571
2025.05.06,10:35:00,57.472576,11.185022
2025.05.06,10:36:00,57.470686,11.180484
2025.05.06,10:37:00,57.468792,11.175941
2025.05.06,10:38:00,57.466874,11.171398
2025.05.06,10:39:00,57.464915,11.166865
2025.05.06,10:40:00,57.46286,11.16246
2025.05.06,10:41:00,57.460828,11.15807
2025.05.06,10:42:00,57.458745,11.15378
2025.05.06,10:43:00,57.456609,11.149594
2025.05.06,10:44:00,57.454446,11.145446
2025.05.06,10:45:00,57.452151,11.141547
2025.05.06,10:46:00,57.449815,11.137826
2025.05.06,10:47:00,57.44751,11.134098
2025.05.06,10:48:00,57.445204,11.13033
2025.05.06,10:49:00,57.442894,11.126565
2025.05.06,10:50:00,57.440607,11.12282
2025.05.06,10:51:00,57.438305,11.119082
2025.05.06,10:52:00,57.435998,11.115332
2025.05.06,10:53:00,57.433689,11.111593
2025.05.06,10:54:00,57.431362,11.107832
2025.05.06,10:55:00,57.429023,11.104093
2025.05.06,10:56:00,57.426692,11.100359
2025.05.06,10:57:00,57.424341,11.096678
2025.05.06,10:58:00,57.421969,11.092984
2025.05.06,10:59:00,57.419577,11.0893
2025.05.06,11:00:00,57.417195,11.085623
2025.05.06,11:01:00,57.414841,11.081963
2025.05.06,11:02:00,57.412486,11.078336
2025.05.06,11:03:00,57.410136,11.074723
2025.05.06,11:04:00,57.407814,11.07109
2025.05.06,11:05:00,57.40547,11.067463
2025.05.06,11:06:00,57.403111,11.063845
2025.05.06,11:07:00,57.400902,11.060018
2025.05.06,11:08:00,57.39914,11.055485
2025.05.06,11:09:00,57.3977,11.050525
2025.05.06,11:10:00,57.396558,11.045382
2025.05.06,11:11:00,57.395722,11.040025
2025.05.06,11:12:00,57.394984,11.034572
2025.05.06,11:13:00,57.394402,11.029089
2025.05.06,11:14:00,57.393889,11.023531
2025.05.06,11:15:00,57.393431,11.01798
2025.05.06,11:16:00,57.393008,11.012389
2025.05.06,11:17:00,57.392585,11.006814
2025.05.06,11:18:00,57.392244,11.001462
